book,author,concept_slug,status,pred_strength,truth_strength,rationale
Value Investing,"Bruce C. Greenwald, Judd Kahn, Erin Bellissimo, Mark A. Cooper, Tano Santos",valuation_multiples_and_relative_valuation,FP,0.5,,Searching for underpriced securities and assessing cheapness is central to the value investing approach taught.
Value Investing,"Bruce C. Greenwald, Judd Kahn, Erin Bellissimo, Mark A. Cooper, Tano Santos",strategy_design_and_rule_definition,FP,0.5,,Readers learn to hone a research strategy and apply a repeatable approach to security selection.
Value Investing,"Bruce C. Greenwald, Judd Kahn, Erin Bellissimo, Mark A. Cooper, Tano Santos",financial_statement_analysis,FN,,1.0,
Value Investing,"Bruce C. Greenwald, Judd Kahn, Erin Bellissimo, Mark A. Cooper, Tano Santos",diversification,FN,,0.5,
Big Debt Crises,Ray Dalio,currency_and_global_macro_forces,FN,,1.0,
Financial Statement Analysis and Security Valuation,Stephen H. Penman,credit_debt_and_financial_crises,FN,,0.5,
Financial Statement Analysis and Security Valuation,Stephen H. Penman,risk_return_tradeoff,FN,,1.0,
Financial Statement Analysis and Security Valuation,Stephen H. Penman,business_quality_and_competitive_advantage,FN,,0.5,
Financial Statement Analysis and Security Valuation,Stephen H. Penman,price_formation_and_market_efficiency,FN,,0.5,
The Bogleheads' Guide to Investing,"Mel Lindauer, Taylor Larimore, Michael LeBoeuf",emotional_discipline,FN,,1.0,
The Bogleheads' Guide to Investing,"Mel Lindauer, Taylor Larimore, Michael LeBoeuf",passive_vs_active_portfolio_management,FN,,1.0,
The Bogleheads' Guide to Investing,"Mel Lindauer, Taylor Larimore, Michael LeBoeuf",portfolio_rebalancing,FN,,1.0,
The Bogleheads' Guide to Investing,"Mel Lindauer, Taylor Larimore, Michael LeBoeuf",diversification,FN,,1.0,
The Bogleheads' Guide to Investing,"Mel Lindauer, Taylor Larimore, Michael LeBoeuf",inflation_and_purchasing_power,FN,,0.5,
The Bogleheads' Guide to Investing,"Mel Lindauer, Taylor Larimore, Michael LeBoeuf",time_horizon_and_goal_based_investing,FN,,1.0,
The Bogleheads' Guide to Investing,"Mel Lindauer, Taylor Larimore, Michael LeBoeuf",cognitive_biases,FN,,0.5,
The Bogleheads' Guide to Investing,"Mel Lindauer, Taylor Larimore, Michael LeBoeuf",asset_classes_and_financial_instruments,FN,,1.0,
The Bogleheads' Guide to Investing,"Mel Lindauer, Taylor Larimore, Michael LeBoeuf",risk_return_tradeoff,FN,,0.5,
The Bogleheads' Guide to Investing,"Mel Lindauer, Taylor Larimore, Michael LeBoeuf",asset_allocation,FN,,1.0,
Margin of Safety,Seth A. Klarman,business_quality_and_competitive_advantage,FP,0.5,,"Value investing involves evaluating underlying business quality, a secondary theme in the philosophy explained."
Margin of Safety,Seth A. Klarman,asset_allocation,FP,0.5,,"The book offers advice on portfolio management, a secondary topic covered."
Margin of Safety,Seth A. Klarman,cognitive_biases,FP,0.5,,"The description notes avoiding investment fads, touching on herd behavior and biases that mislead investors."
Margin of Safety,Seth A. Klarman,emotional_discipline,FN,,1.0,
Margin of Safety,Seth A. Klarman,execution_quality_and_trade_implementation,FN,,0.5,
Margin of Safety,Seth A. Klarman,diversification,FN,,1.0,
Margin of Safety,Seth A. Klarman,risk_return_tradeoff,FN,,1.0,
Margin of Safety,Seth A. Klarman,valuation_multiples_and_relative_valuation,FN,,0.5,
Margin of Safety,Seth A. Klarman,process_oriented_decision_making,FN,,1.0,
Margin of Safety,Seth A. Klarman,financial_statement_analysis,FN,,0.5,
Margin of Safety,Seth A. Klarman,credit_debt_and_financial_crises,FN,,0.5,
Evidence-Based Technical Analysis,David Aronson,cognitive_biases,FP,0.5,,The evidence-based approach is partly motivated by exposing subjective biases like data mining bias and survivorship in technical analysis.
Evidence-Based Technical Analysis,David Aronson,system_iteration_and_continuous_improvement,FN,,1.0,
Evidence-Based Technical Analysis,David Aronson,price_formation_and_market_efficiency,FN,,0.5,
Evidence-Based Technical Analysis,David Aronson,process_oriented_decision_making,FN,,1.0,
The Most Important Thing,Howard Marks,drawdown_management,FP,0.5,,Defensive investing aims to avoid pitfalls that destroy capital during adverse conditions.
The Most Important Thing,Howard Marks,process_oriented_decision_making,FN,,1.0,
The Most Important Thing,Howard Marks,passive_vs_active_portfolio_management,FN,,0.5,
The Most Important Thing,Howard Marks,intrinsic_value_estimation,FN,,1.0,
The Most Important Thing,Howard Marks,risk_reward_and_expectancy,FN,,1.0,
Technical Analysis of the Financial Markets,John J. Murphy,currency_and_global_macro_forces,FP,0.5,,The new material on intermarket relationships covers how markets influence one another across asset classes.
Technical Analysis of the Financial Markets,John J. Murphy,order_types_and_execution_mechanics,FN,,0.5,
Technical Analysis of the Financial Markets,John J. Murphy,strategy_design_and_rule_definition,FN,,1.0,
"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,leverage_and_margin_risk,FN,,0.5,
"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,earnings_growth_and_profitability_drivers,FN,,0.5,
"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,backtesting_and_strategy_validation,FN,,0.5,
"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,valuation_multiples_and_relative_valuation,FN,,1.0,
"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,economic_indicators_and_data_interpretation,FN,,1.0,
"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,asset_allocation,FN,,1.0,
Trade Your Way to Financial Freedom,Van K. Tharp,emotional_discipline,FP,0.5,,"As a psychologist, Tharp addresses the psychological aspects of successful trading."
Trade Your Way to Financial Freedom,Van K. Tharp,drawdown_management,FN,,1.0,
Trade Your Way to Financial Freedom,Van K. Tharp,cognitive_biases,FN,,1.0,
Trade Your Way to Financial Freedom,Van K. Tharp,trade_planning_and_preparation,FN,,1.0,
Trade Your Way to Financial Freedom,Van K. Tharp,backtesting_and_strategy_validation,FN,,1.0,
The Psychology of Money,Morgan Housel,emotional_discipline,FN,,1.0,
The Psychology of Money,Morgan Housel,loss_aversion_and_drawdown_psychology,FN,,1.0,
The Psychology of Money,Morgan Housel,cognitive_biases,FN,,1.0,
The Psychology of Money,Morgan Housel,overtrading_and_impulse_control,FN,,1.0,
The Psychology of Money,Morgan Housel,process_oriented_decision_making,FN,,1.0,
